doc_id,assignee,year,legal_status,hybrid,wear_hits,title,wear_snippet
AU5671473A,FIRESTONE TIRE & RUBBER COMPANY,1973,DEAD,1,3,TIRE TIRE,"The invention aims to provide a tire structure that eliminates tread separations, reduces the number of cut ends, and ensures uniform wear and lateral rigidity without the need for calendering, cutting, or assembly equipment."
WO2018100960A1,BRIDGESTONE CORP,2016,DEAD,1,2,"RUBBER–CORD COMPOSITE, REINFORCING MEMBER FOR TIRES, AND TIRE USING SAME",
WO2018100961A1,BRIDGESTONE CORP,2016,DEAD,1,2,"RUBBER–CORD COMPOSITE, REINFORCING MEMBER FOR TIRES, AND TIRE USING SAME",
WO2015178366A1,YOKOHAMA RUBBER CO LTD,2014,DEAD,1,2,PNEUMATIC TIRE,
CN118958019A,"SHANDONG HUASHENG RUBBER CO LTD (DONGYING CITY, CN)",2024,ALIVE,1,2,Processing method of cord thread for reinforcing layer of semi-steel radial tire and tire for new energy automobile,"The prior art methods often result in high loss, increased heat generation, and short tire life due to the need for additional adhesives and poor performance in high-speed environments."
WO2017188408A1,BRIDGESTONE CORP,2016,DEAD,1,2,RUN FLAT RADIAL TIRE,
KR20020040929A,KUMHO IND CO LTD,2000,DEAD,1,2,- Tire Caply Cord for Tire Polyethylenenaphthalate-nylon Hybrid,"This results in a composite fiber that enhances the adhesion between the rubber and the tire cap ply, improving tire life and stability."
EP2871069B1,CONTINENTAL REIFEN DEUTSCHLAND GMBH,2013,ALIVE,1,2,Pneumatic tyres for a vehicle,
DE102013105163A1,CONTINENTAL REIFEN DEUTSCHLAND,2013,DEAD,1,2,Pneumatic vehicle tires and use of a yarn of a textile material,"These plies, though providing durability and abrasion resistance, also lead to significant heat buildup during operation, especially at high speeds, which reduces tire efficiency and comfort."
WO2015163325A1,SUMITOMO RUBBER IND LTD,2014,DEAD,1,1,"PNEUMATIC TIRE, AND PNEUMATIC TIRE PRODUCTION METHOD",
JP2013220755A,BRIDGESTONE CORP,2012,DEAD,1,1,PNEUMATIC RADIAL TIRE AND METHOD OF MANUFACTURING THE SAME,
KR20070012264A,THE GOODYEAR TIRE & RUBBER CO,2005,ALIVE,1,1,MONOPLY PNEUMATIC RUN-FLAT TIRE,
EP2380754A2,THE GOODYEAR TIRE & RUBBER CO,2010,DEAD,1,1,Hybrid cord in a belt ply for a pneumatic tire,
EP2380755A2,THE GOODYEAR TIRE & RUBBER CO,2010,ALIVE,1,1,Overlay ply covering the belt ply for a pneumatic tire,
US20160288573A1,THE GOODYEAR TIRE & RUBBER CO,2015,DEAD,1,1,CONTINUOUS CROWN REINFORCEMENT FOR A PNEUMATIC TIRE,
US20160288574A1,THE GOODYEAR TIRE & RUBBER CO,2015,DEAD,1,1,CROWN REINFORCEMENT FOR A PNEUMATIC TIRE,
JP2017186002A,BRIDGESTONE CORP,2016,ALIVE,1,1,PNEUMATIC TIRE,
KR20110050216A,KUMHO TIRE CO INC,2009,DEAD,1,1,"CAPPLY CORD, AND PNUMERIC TIRE WITH THE SAME",
KR20170085878A,HYOSUNG CORP,2016,DEAD,1,1,A Hybird Dipped cord and Radial tire Using the Same,"The method ensures uniform filament properties and high-quality production, leading to better performance and longer tire life."
JP2013001390A,THE GOODYEAR TIRE & RUBBER CO,2011,ALIVE,1,1,RADIAL TIRE FOR AIRCRAFT,
WO2017048208A1,KORDSA GLOBAL ENDUSTRIYEL IPLIK VE KORD BEZI SANAYI VE TICARET AS,2015,DEAD,1,1,A PLIED TWISTED CAP PLY REINFORCEMENT HYBRID YARN,
CN109070640A,YOKOHAMA RUBBER CO LTD,2016,ALIVE,1,1,PNEUMATIC TIRE,
GB776728A,US RUBBER CO,1954,DEAD,1,1,Improvements in method of making pneumatic tyres,
JP2020185987A,THE GOODYEAR TIRE & RUBBER CO,2019,DEAD,1,1,RADIAL TIRE,
WO2014091429A1,PIRELLI SPA,2012,DEAD,1,1,TYRE FOR VEHICLE WHEELS,
EP3912833A1,"CONTINENTAL REIFEN DEUTSCHLAND GMBH (30165 HANNOVER, DE)",2020,ALIVE,1,1,PNEUMATIC TYRE,
WO2005002884A1,PIRELLI SPA,2003,DEAD,1,1,TYRE WITH IMPROVED BELT STRUCTURE,
DE102010000013A1,CONTINENTAL REIFEN DEUTSCHLAND GMBH,2010,DEAD,1,1,Vehicle tires,
EP4335661A1,SUMITOMO RUBBER IND LTD,2022,ALIVE,1,1,TIRE,"The reinforced belt layer ensures structural integrity and reduces the likelihood of breakage, extending tire life."
US20100096060A1,SUZUKI TAKAYUKI,2008,ALIVE,0,41,PNEUMATIC TIRE,"ADVANTAGES
The invention provides significant improvements in uneven wear resistance by optimizing the positioning of circumferential main grooves and narrow grooves relative to belt plies."
WO2014132667A1,BRIDGESTONE CORP,2013,DEAD,0,37,PNEUMATIC TIRE,"The inclined belt layer, positioned in the center portion, minimizes the number of layers in the center region, enhancing wear resistance and structural integrity."
JP2009166819A,BRIDGESTONE CORP,2007,DEAD,0,35,PNEUMATIC TIRE,&lt;P&gt;PROBLEM TO BE SOLVED: To provide details of a tire shape for providing a tire excellent in abrasion resistance performance and reduced in rolling resistance.
JP2015137057A,BRIDGESTONE CORP,2014,DEAD,0,30,TIRE FOR TWO-WHEELED MOTOR VEHICLE,
JP5041104B1,YOKOHAMA RUBBER CO LTD,2011,ALIVE,0,30,Pneumatic tire,"PROBLEM BEING SOLVED
The invention addresses the issue of uneven wear in pneumatic tires, particularly in the tread portion where the circumferential reinforcing layer is positioned."
EP3862195A1,SUMITOMO RUBBER IND LTD,2020,ALIVE,0,27,TYRE,"ADVANTAGES
The invention provides a pneumatic tyre that significantly improves wear resistance by reducing deformation of the tread profile near circumferential grooves."
JP2026053895A,SUMITOMO ELECTRIC IND LTD,2024,ALIVE,0,26,Heavy-duty tires,[Problem] To provide a heavy-duty tire 2 that can suppress the accumulation of static electricity while maintaining resistance to uneven wear.
JP4918948B1,YOKOHAMA RUBBER CO LTD,2011,ALIVE,0,26,Pneumatic tire,The invention aims to improve the wear resistance of these areas by introducing a circumferential enhancement layer that enhances the tire's resistance to eccentric wear.
WO2016204930A1,BRIDGESTONE AMERICAS TIRE OPERATIONS LLC,2015,DEAD,0,25,TIRE HAVING A CONDUCTIVE INSERT,"The tire of claim 3, wherein the first bead region further includes a first abrasion, wherein the second bead region includes a second abrasion, and wherein the bottom end of the gum strip is disposed axially between the at least one body ply and the first abrasion."
JP5024485B1,YOKOHAMA RUBBER CO LTD,2011,ALIVE,0,21,Pneumatic tire,"PROBLEM BEING SOLVED
The invention addresses the issue of uneven wear resistance in pneumatic tires, particularly in regions like the land portions above the circumferential reinforcing layer."
US20150059941A1,YOKOHAMA RUBBER CO LTD,2013,DEAD,0,20,Pneumatic Tire,"ADVANTAGES
The invention provides enhanced road holding performance, improved wear resistance, and better steering stability on unpaved roads."
WO2013065322A1,BRIDGESTONE CORP,2011,DEAD,0,20,PNEUMATIC RADIAL TIRE FOR PASSENGER CAR,
US11383557B2,SUMITOMO RUBBER IND LTD,2017,ALIVE,0,20,Tire for two-wheeled automotive vehicle,"ADVANTAGES
The invention provides significant advantages over prior tire designs by enhancing grip performance during cornering while preventing abrasion."
WO2009154282A1,BRIDGESTONE CORP,2008,DEAD,0,19,PNEUMATIC TIRE,"The invention addresses these issues by introducing a novel belt layer configuration that enhances both abrasion resistance and separation control, ensuring the tread portion remains intact and functional under dynamic loading conditions."
TW202146260A,SUMITOMO RUBBER IND LTD,2020,ALIVE,0,19,Tire for kart,The tire's construction method ensures that the reinforcing layers are positioned to enhance wear resistance without compromising the tire's overall performance.
JP4973810B1,YOKOHAMA RUBBER CO LTD,2011,ALIVE,0,18,Pneumatic tire,"The problem arises when the circumferential enhancement layer is not properly arranged, leading to poor wear resistance and reduced tire longevity."
JP4984013B1,YOKOHAMA RUBBER CO LTD,2011,ALIVE,0,18,Pneumatic tire,
WO2014024499A1,BRIDGESTONE CORP,2012,DEAD,0,18,PNEUMATIC TIRE FOR AUTOMATIC TWO-WHEELED VEHICLE,
WO2014136523A1,SUMITOMO RUBBER IND LTD,2013,DEAD,0,18,PNEUMATIC TIRE,"ADVANTAGES
The invention provides a pneumatic tire with significantly improved wear resistance and crack resistance in grooves."
JP5182455B1,YOKOHAMA RUBBER CO LTD,2012,ALIVE,0,17,Pneumatic tire,"The specific ratios between tread width, carcass width, and circumferential reinforcement layer dimensions ensure optimal performance, reducing slippage and uneven wear in the shoulder regions."
JPH1120405A,SUMITOMO RUBBER IND LTD,1997,DEAD,0,16,PNEUMATIC TIRE,"The corrugated band layer ensures uniform contact surface shape even under varying loads, improving steering stability and wear resistance."
JP7707751B2,SUMITOMO ELECTRIC IND LTD,2021,ALIVE,0,15,tire,"ADVANTAGES
The invention provides a tire that significantly reduces rolling resistance while maintaining wear resistance during extreme driving conditions."
FR3160129A1,MICHELIN & CIE,2024,ALIVE,0,15,Optimized tread and crown of civil engineering tire,"The crown filler rubbers are positioned between the working layers and the carcass reinforcement, with their thicknesses adjusted to balance wear resistance and thermal stability."
CN116409090A,"ANHUI GITI RADIAL TIRE CO LTD (HEFEI CITY, CN)",2023,ALIVE,0,15,Pneumatic tire,"Additionally, the current design lacks uniformity in durability and abrasion performance, making it difficult to adapt to various road conditions."
JP2009006983A,YOKOHAMA RUBBER CO LTD,2006,ALIVE,0,15,PNEUMATIC TIRE,"ADVANTAGES
The invention provides a tire design that ensures uniform wear distribution, enhancing stability and performance under varying load conditions."
WO2014065298A1,BRIDGESTONE CORP,2012,DEAD,0,14,PNEUMATIC TIRE,"The larger belt layer width ensures better wear resistance and durability, while the reinforcing layer's spiral winding provides additional strength and resilience."
CN109532339B,"ANHUI GITI RADIAL TIRE CO LTD (HEFEI CITY, CN)",2018,ALIVE,0,14,Pneumatic tire capable of inhibiting abnormal abrasion and resisting groove cracking,
US20120234451A1,TOYO TIRE & RUBBER CO LTD,2011,DEAD,0,14,PNEUMATIC TIRE,"It effectively suppresses outer diameter growth in the tread shoulder area, preventing uneven wear and delamination of the belt edge."
CN109109574A,"ZHONGCE RUBBER GROUP CO LTD (HANGZHOU CITY, CN)",2018,ALIVE,0,13,Load-bearing inflatable radial tire,
WO2020072245A1,BRIDGESTONE AMERICAS TIRE OPERATIONS LLC,2018,DEAD,0,13,TIRE HAVING A CONDUCTIVE PATH IN A SIDEWALL,"The use of specific resistivity values in the abrasions, body plies, and undertreads ensures optimal charge dissipation without compromising tire integrity."
WO2010067699A1,SUMITOMO RUBBER IND LTD,2008,DEAD,0,13,PNEUMATIC TIRE AND METHOD OF MANUFACTURING SAME,"ADVANTAGES
The invention provides significant advantages over prior art by improving noise reduction and wear resistance in air inflation tires."
JPH05286309A,BRIDGESTONE CORP,1992,DEAD,0,13,AUDIO TRANSMITTING SYSTEM,"The use of steel cords in the belt layer provides sufficient rigidity and wear resistance, while the belt auxiliary layer ensures optimal contact and reinforcement."
CN117621714A,SUMITOMO RUBBER IND LTD,2022,ALIVE,0,13,Tire,"The tread surface includes a cap portion and a base portion, with the cap portion made of crosslinked rubber for wear resistance and grip performance, and the base portion made of crosslinked rubber with low heat build-up."
JPH10236108A,TOYO TIRE & RUBBER CO LTD,1997,DEAD,0,12,PNEUMATIC TIRE,"According to this construction, a characteristic including steering stability, wear resistance and durability is improved."
CN118219710A,"ZHAOQING JUNHONG CO LTD (ZHAOQING CITY, CN)",2024,DEAD,0,12,Run-flat tire capable of preventing abnormal sound,"METHOD USED
The run flat tire comprises a tire carcass layer, a tire core, a reinforced steel wire layer, an anti-abrasion rubber layer, an upper endpoint, a lower joint surface endpoint, and an inner endpoint."
CN106739829A,"QINGDAO UNIV OF SCIENCE & TECHNOLOGY (QINGDAO CITY, CN)",2017,ALIVE,0,12,Radial tire with four belted layers,"The prior art often used single or triple layer belt structures that either failed to balance radial and transverse compression forces or caused uneven pressure distribution, leading to reduced tire life and safety."
WO2016204967A1,BRIDGESTONE AMERICAS TIRE OPERATIONS LLC,2015,DEAD,0,12,TIRE HAVING A CONDUCTIVITY PATH,"A tire comprising:    a first annular bead and first abrasion area, wherein the first abrasion area has a resistivity of at least 5.9 x 107ohms;"
WO2022178474A1,BRIDGESTONE AMERICAS TIRE OPERATIONS LLC,2021,DEAD,0,12,TIRE WITH MULTIPLE STEEL BELTS AND A REINFORCEMENT LAYER,"The reinforcement layers are pre-tensioned, ensuring even distribution of energy and preventing irregular wear."
WO2020059673A1,SUMITOMO RUBBER IND LTD,2018,DEAD,0,12,PNEUMATIC TIRE,
WO2012105269A1,BRIDGESTONE CORP,2011,DEAD,0,12,PNEUMATIC TIRE FOR MOTORCYCLE,"Traditional motorcycle tires often suffer from uneven wear due to uniform slip components in the circumferential direction of the tread rubber, which can lead to non-uniform contact areas and reduced grip force."
WO2015015701A1,BRIDGESTONE CORP,2013,DEAD,0,12,TIRE FOR TWO-WHEELED MOTOR VEHICLE,"Provided is a tire for a two-wheeled motor vehicle, the tire being configured so that driving stability performance can be improved and so that the uneven wear of the tread can be reduced."
JP2012046032A,BRIDGESTONE CORP,2010,DEAD,0,11,TIRE,"The polyurethane-based thermoplastic elastomer ensures high wear resistance and puncture resistance, while the reinforcing cord layer formed from thermoplastic resin maintains structural rigidity and adhesion."
WO2014103069A1,YOKOHAMA RUBBER CO LTD,2012,DEAD,0,11,PNEUMATIC TIRE,
CN106457914A,"CONTINENTAL REIFEN DEUTSCHLAND GMBH (HANNOVER, DE)",2014,ALIVE,0,11,Vehicle pneumatic tyre,"Additionally, conventional belts have limited circumferential stiffness, which can cause uneven wear and reduce tire performance."
JPH09240214A,YOKOHAMA RUBBER CO LTD,1996,DEAD,0,10,PNEUMATIC RADIAL TIRE,"Additionally, conventional methods often result in uneven wear and shear deformation, which reduce tire durability."
WO2014103062A1,YOKOHAMA RUBBER CO LTD,2012,DEAD,0,10,PNEUMATIC TIRE,
WO2021024951A1,YOKOHAMA RUBBER CO LTD,2019,DEAD,0,9,PNEUMATIC TIRE,
EP0412775A2,SUMITOMO RUBBER IND LTD,1989,DEAD,0,9,Pneumatic tyre.,
WO2006137536A1,YOKOHAMA RUBBER CO LTD,2005,DEAD,0,9,FLAT PNEUMATIC RADIAL TIRE FOR HEAVY LOAD AND METHOD OF MANUFACTURING THE SAME,
CN106515314A,HANGZHOU CHAOYANG RUBBER CO LTD,2016,DEAD,0,9,Ultralow-section wide tyre wound through four-layer small-angle combination steel cord belt bundle,"It improves ground contact uniformity, enhances tire durability and wear resistance, increases mileage, and improves fuel efficiency."
GB720149A,DUNLOP RUBBER CO LTD,1952,DEAD,0,9,Improvements in or relating to pneumatic tyres,"It has been established, heretofore, that a considerable proportion of tread wear is caused by circumferential compression of the tread rubber and by the movement which takes place within the tread rubber during flexing of the tyre under running conditions."
EP1022162A1,THE GOODYEAR TIRE & RUBBER CO,1999,DEAD,0,9,Tire with improved run-flat design,"ADVANTAGES
The invention provides a radial ply pneumatic tire that significantly improves run flat mileage while minimizing weight penalties."
CN109153288A,BRIDGESTONE CO LTD,2016,DEAD,0,9,Tire,"The invention aims to resolve these issues by ensuring balanced stiffness and flexibility in the belt layer and reinforcement layers, thereby enhancing overall durability, speed performance, and wear resistance."
US4867219A,WYKOFF CLYDE R,1984,DEAD,0,9,"Pneumatic tire and tire carcass having ""directional"" or ""rotary strength imbalanced"" high rigidity confluent belt ply assemblies and ""directional tire operatioal characteristics""","ADVANTAGES
The invention provides significant advantages over prior tire designs by reducing impact shocks on suspension systems, minimizing tread wear, and improving tire durability."
US3115921A,DUPONT CO,1960,DEAD,0,9,Tire construction,
CN116867653A,YOKOHAMA RUBBER CO LTD,2021,ALIVE,0,9,Tire,"ADVANTAGES
The invention provides a tire that effectively balances low rolling resistance and high wear resistance, making it suitable for high-load and high-pressure environments."
JPH0613241B2,SUMITOMO RUBBER IND LTD,1983,DEAD,0,9,Radial tires for motorcycles,"PURPOSE:To improve lateral rigidity of the captioned tire while keeping wear resistance, road keeping property, and a highspeed running property by properly selecting structures, arrangements and materials of a carcass reinforcement layer and a braker, in a radial structure of a motorcycle tire."
JPH0325003A,TOYO TIRE & RUBBER CO LTD,1989,DEAD,0,9,LOW PROFILE TIRE,"The reinforcing layer's circumferential tensile rigidity at the side edges is higher than at the center, preventing uneven wear."
GB2041843A,BRIDGESTONE TIRE CO LTD,1979,DEAD,0,9,Pneumatic radial tire,"ADVANTAGES
The invention provides a pneumatic radial tire with enhanced high-speed durability, wear resistance, and cornering performance due to the use of polyethylene terephthalate low polymer cords."
US20140373989A1,SUMITOMO RUBBER IND LTD,2013,DEAD,0,9,TIRE,"ADVANTAGES
The invention provides a tire with enhanced abrasion resistance and appearance, while maintaining improved fuel economy."
WO2007023902A1,BRIDGESTONE CORP,2005,DEAD,0,8,PNEUMATIC TIRE FOR BICYCLE,A pneumatic tire for bicycle in which partial abrasion is suppressed by making the slip component of a tread rubber in the circumferential direction of tire as uniform as possible in the ground contacting plane.
WO2012026588A1,BRIDGESTONE CORP,2010,DEAD,0,8,PNEUMATIC TIRE FOR TWO-WHEELED VEHICLE,"The present invention provides a pneumatic tire for a two-wheeled vehicle having improved grip when cornering, without producing deficiencies such as premature wear and uneven wear."
JPH09193609A,YOKOHAMA RUBBER CO LTD,1996,DEAD,0,8,PNEUMATIC RADIAL TIRE,"This deformation is exacerbated during inflation, causing the belt layer to swell outward, which reduces edge separation resistance and increases wear resistance."
EP0488734A1,BRIDGESTONE CORP,1990,DEAD,0,8,Pneumatic radial tires for passenger cars.,"It ensures uniform ground contact pressure, enhancing steering stability and reducing wear resistance."
WO2016070030A1,MICHELIN & CIE,2014,DEAD,0,8,TIRE WITH FOAMED BELT OVERLAYER,"ADVANTAGES
The invention provides significant advantages over prior tire designs by introducing a foamed belt overlayer that enhances wear resistance through decoupling forces during sliding zones."
GB2171067A,BRIDGESTONE CORP,1985,DEAD,0,8,Heavy duty pneumatic tire,"The design also minimizes uneven wear and separation at the edge of the belt layers, extending tire life and reducing maintenance needs."
FR3102096A1,MICHELIN & CIE,2019,ALIVE,0,8,TOP REINFORCEMENT FOR METROPOLITAN TYPE TIRE,"The reinforcing elements are positioned to maintain the integrity of the crown reinforcement, preventing separation risks and ensuring satisfactory wear performance."
GB879367A,DUNLOP RUBBER CO LTD,1957,DEAD,0,8,Improvements in pneumatic tyres,
DE1965075A1,THE GOODYEAR TIRE & RUBBER CO,1968,DEAD,0,8,tire,
DE102018213780A1,CONTINENTAL REIFEN DEUTSCHLAND GMBH,2018,DEAD,0,8,Vehicle tires,This configuration ensures optimal balance between abrasion performance and high-speed performance.
WO2004014668A1,BRIDGESTONE CORP,2002,DEAD,0,7,PNEUMATIC TIRE FOR TWO-WHEELED MOTOR VEHICLE,
US20200031165A1,SUMITOMO RUBBER IND LTD,2018,DEAD,0,7,STUDLESS TYRE,
CN115352222A,"SHANDONG LINGLONG TYRE CO LTD (YANTAI CITY, CN)",2022,DEAD,0,7,All-steel radial tire with novel belted layer structure,
WO2014010348A1,YOKOHAMA RUBBER CO LTD,2012,DEAD,0,7,PNEUMATIC TIRE,
DE2332720A1,BRIDGESTONE TIRE CO LTD,1972,DEAD,0,7,TIRES IN RADIAL CONSTRUCTION,"The resulting radial tire exhibits excellent cornering performance, high speed performance and tread wear resistance."
FR2953762A1,MICHELIN RESEARCH & TECHNOLOGY CO LTD,2009,DEAD,0,7,PNEUMATIC TIRE HAVING A RIGIDIFICATION FRAME.,"PROBLEM BEING SOLVED
The invention addresses the issue of uneven wear and degradation in tires designed for sporty driving."
DE1965098A1,THE GOODYEAR TIRE & RUBBER CO,1968,DEAD,0,7,Belt pneumatic tires,
WO2019142509A1,YOKOHAMA RUBBER CO LTD,2018,DEAD,0,7,PNEUMATIC TIRE,"In order to enhance heel-and-toe wear resistance and traction performance, the present invention is provided with: two circumferential main grooves 11 which are entirely arranged inside in the tire width direction than half of the tread development width TDW;"
CN102245403A,"MICHELIN RECHERCHE ET TECHNIQUES SA (GRANGES-PACCOT, CH)",2008,ALIVE,0,7,Improved hydroplaning performance for a tire,"Advantageously, the variable pressure shear band can improve the hydroplaning performance and rolling resistance simultaneously without degrading wear performance."
FR2557513A1,BRIDGESTONE CORP,1983,DEAD,0,7,RADIAL TIRE FOR HEAVY LOADS,
EP0219311A2,SUMITOMO RUBBER IND LTD,1985,DEAD,0,7,Motorcycle tyre.,"The invention addresses this gap by integrating a cross-ply carcass with radial reinforcement layers, ensuring both stability and durability while maintaining high-speed performance and wear resistance."
CN108790618A,TRIANGLE WEIHAI HUASHENG TYRE CO LTD,2018,DEAD,0,7,Standard test tire for tire performance test reference,"the standard testing tire of tyre performance test object of reference according to claim 1, it is characterised in that each of described 6 abrasion labels are arranged at ring-shaped groove bottom, and are uniformly distributed in whole circumference, and wear away label height and be not less than 1.6mm."
US20110214791A1,MICHELIN RESEARCH & TECHNOLOGY CO LTD,2010,DEAD,0,7,"Tire for Vehicle, Comprising a Tread, Comprising Plurality of Compounds and a Carcass Reinforcement formed of at Least Two Layers","The second polymeric compound is chosen for its superior grip properties, and the first polymeric compound is selected for its wear resistance."
CN119017872A,"CHENG SHIN RUBBER XIAMEN IND LTD (XIAMEN CITY, CN)",2024,ALIVE,0,6,Tire with polyester spiral winding belted layer,"The polyester cord is wound in a spiral pattern at a specific angle relative to the tire's circumferential direction, while the carcass belt and ply are inclined at various angles to enhance rigidity, cornering stability, and wear resistance."
WO2010095654A1,BRIDGESTONE CORP,2009,DEAD,0,6,TIRE AND TIRE MANUFACTURING METHOD,"The tire according to claim 1, wherein a tread made of a material that is more resistant to abrasion than the resin material is provided on a radially outer side of the reinforcing cord layer."
US20230098208A1,THE GOODYEAR TIRE & RUBBER CO,2021,DEAD,0,6,WRAPAROUND STRUCTURE FOR A BELT PACKAGE OF A TIRE,"ADVANTAGES
The invention offers significant advantages over prior tire constructions by enhancing durability and uniform tread wear through the radial wraparound belt structure."
WO2017122821A1,BRIDGESTONE CORP,2016,DEAD,0,6,PNEUMATIC TIRE,
WO2010095655A1,BRIDGESTONE CORP,2009,DEAD,0,6,TIRE AND TIRE MANUFACTURING METHOD,The tread rubber layer made of rubber having higher wear resistance than the thermoplastic material constituting the tire frame member is provided in a portion that contacts the road surface.
WO2000001544A1,THE GOODYEAR TIRE & RUBBER CO,1998,DEAD,0,6,FABRIC UNDERLAY FOR IMPROVING TREAD CIRCUMFERENTIAL AND MERIDIONAL RIGIDITY,"ADVANTAGES
The invention provides improved tread rigidity and resistance to central upward buckling, enhancing runflat handling and tire life."
CN120096243A,"HENAN TIANJI TIRE CO LTD (JIAOZUO CITY, CN)",2025,ALIVE,0,6,Lightweight tire and production process,"It employs a bead ring with triangular rubber wrapping, bead filler strip, abrasion-resistant strip, and chafer."
